el hombre,мъж
sobre, 
la gramática, 
el género, 
la conjugacíon, 
la abecedario, 
encontrar, 
la piedra, 
el objeto, 
la basura, 
la papelera / el cubo de basura, 
el ordenador, 
el gimnasio, 
jugar, 
el jamón, 
el jefe, 
la guitarra, 
famoso, 
los demás / el resto, 
las vacaciones, 
la fiesta, 
organizar, 
el turno, 
la conversación, 
la información, 
por ejemplo, 
el ejemplo, 
el camino, 
la manera, 
igual, 
la cuestión, 
pagar, 
creer, 
la patata, 
frito, 
la bicicleta, 
la cerveza, 
traducir, 
oír, 
el camión, 
irse, 
olvidar / olvidarse, 
tomar, 
el desayuno, 
el almuerzo, 
la cena, 
desayunar, 
almorzar, 
cenar, 
la respuesta, 
entrar, 
el barco / el buque, 
la barca, 
después de, 
claro / por supuesto, 
antes de, 
el fuego, 
la fuerza, 
la figura, 
la luz, 
la línea, 
largo, 
el largo, 
el caballo, 
listo / preparado, 
la necesidad, 
la tierra, 
la Tierra, 
aterrizar, 
la camisa, 
la camiseta, 
el vestido, 
vestir, 
el blanco, 
el negro, 
el rojo, 
el verde, 
el azul, 
el amarillo, 
el marrón, 
el gris, 
el naranja, 
el rosado, 
el morado, 
cambiar, 
la clase, 
la ropa, 
elegante, 
caro, 
barato, 
el cambio, 
la cartera, 
favorito, 
diferente, 
distinto, 
el café, 
la cafetería, 
la gente, 
dormir, 
el sueño, 
soñar, 
temprano, 
tarde, 
la primavera, 
el verano, 
el otoño, 
el invierno, 
la cabeza, 
nervioso, 
junto a, 
el norte, 
el sur, 
el oeste, 
el este, 
situado, 
la afición, 
la enfermera, 
la edad, 
la arroba, 
el punto, 
inmediamente / enseguida, 
el programador, 
venir, 
el aula, 
saludar, 
despedir, 
el compañero, 
la orden, 
ordenar, 
la frase, 
comunicativo, 
comunicar, 
pedir, 
la pareja, 
el proyecto, 
pronunciar, 
explorar, 
reflexionar, 
la fila, 
la columna, 
correspondiente, 
la guerra, 
la imagen, 
bailar, 
tocar, 
terminar, 
el apellido, 
servir, 
seguir, 
imaginar, 
el dato, 
la fecha, 
la cita, 
el/la deportista / el/la atleta, 
crear, 
dibujar, 
el dibujo, 
la situación, 
activo, 
la actividad, 
la individualidad, 
la oportunidad, 
la combinación, 
el mecánico, 
cuidar, 
cuidarse, 
el cuidado / la atención, 
el yogur, 
el actor / la actriz, 
el diseñador, 
el pintor, 
el director, 
el conductor / el chófer, 
la orquesta, 
el/la dibujante, 
el bailarín / el bailaor, 
la bailarina, 
aceptar, 
acordar, 
acordarse, 
preocupar / preocuparse, 
pregunarse, 
conseguir, 
la sílaba, 
léxico, 
la bandera, 
corresponder, 
deber, 
el deber / la obligación, 
la forma, 
la caja, 
el jardín, 
principal, 
la parte, 
el aire, 
separar, 
enojado, 
airado, 
enfadar, 
enfadarse, 
el enojo, 
el enfado, 
la carrera, 
la raza, 
el sombrero / el gorro, 
la chaqueta, 
el regalo, 
la medicina, 
el cinturón, 
cómodo, 
la falda, 
prometer, 
la promesa, 
intentar, 
propiamente, 
el placer, 
disfrutar, 
recomendar, 
el árbol, 
el cerebro, 
la novela, 
montar, 
el instituto, 
amable, 
lleno, 
el barrio, 
el/la cantante, 
animar, 
animado, 
dinámico, 
deletrear, 
dedicar, 
repetir, 
el sonido, 
sonar, 
el diálogo, 
según, 
la pizarra, 
la mochila, 
la hoja, 
la negrita, 
coleccionar, 
relacionar, 
esquiar, 
el póster, 
el cartel, 
